lng,lat,MMSI
121.45892,37.589937,412020540
121.458933,37.589873,412020540
121.45896,37.589813,412020540
121.458987,37.589747,412020540
121.45904,37.589687,412020540
121.459107,37.58963,412020540
121.459187,37.589573,412020540
121.459253,37.589527,412020540
121.4592,37.589577,412020540
121.45916,37.589633,412020540
121.459013,37.58972,412020540
121.458907,37.589767,412020540
121.458853,37.589797,412020540
121.458773,37.58983,412020540
121.45864,37.589893,412020540
121.45852,37.58998,412020540
121.4584,37.590047,412020540
121.458347,37.590077,412020540
121.458253,37.590147,412020540
121.4582,37.590193,412020540
121.458107,37.590297,412020540
121.458027,37.590423,412020540
121.458,37.59048,412020540
121.457973,37.59054,412020540
121.45796,37.590607,412020540
121.457947,37.590667,412020540
121.457947,37.590733,412020540
121.45796,37.59079,412020540
121.457973,37.590913,412020540
121.458013,37.590997,412020540
121.458053,37.59114,412020540
121.458093,37.591207,412020540
121.458227,37.59146,412020540
121.458267,37.59153,412020540
121.458293,37.591603,412020540
121.45832,37.591673,412020540
121.458347,37.591743,412020540
121.458413,37.591943,412020540
121.45844,37.592013,412020540
121.458453,37.592093,412020540
121.45844,37.592157,412020540
121.45844,37.592273,412020540
121.4584,37.592333,412020540
121.4584,37.5924,412020540
121.458387,37.592457,412020540
121.458347,37.592523,412020540
121.458267,37.592643,412020540
121.4582,37.59271,412020540
121.458147,37.592773,412020540
121.458093,37.592823,412020540
121.458013,37.592893,412020540
121.457827,37.59304,412020540
121.457773,37.593077,412020540
121.457587,37.593193,412020540
121.45736,37.593337,412020540
121.457307,37.59337,412020540
121.457213,37.593427,412020540
121.45716,37.593457,412020540
121.457093,37.59351,412020540
121.45704,37.593547,412020540
121.456987,37.593587,412020540
121.456907,37.593647,412020540
121.45684,37.593677,412020540
121.456787,37.59372,412020540
121.456693,37.5938,412020540
121.45664,37.59384,412020540
121.456573,37.59391,412020540
121.45652,37.593973,412020540
121.456453,37.594053,412020540
121.4564,37.59412,412020540
121.456373,37.594173,412020540
121.45632,37.594243,412020540
121.456267,37.594317,412020540
121.45624,37.594387,412020540
121.456173,37.59454,412020540
121.456133,37.594617,412020540
121.456107,37.594693,412020540
121.45608,37.594773,412020540
121.45604,37.59485,412020540
121.45596,37.595,412020540
121.455933,37.595073,412020540
121.455907,37.59514,412020540
121.455867,37.595217,412020540
121.455827,37.59527,412020540
121.455787,37.59533,412020540
121.45576,37.595383,412020540
121.455693,37.595453,412020540
121.455653,37.595517,412020540
121.4556,37.595583,412020540
121.455547,37.595643,412020540
